cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class,sub_region,PCA1,PCA2,cluster
Afghanistan,5,10.0,0.8,0.4,0.6,0.2,0.0,0.4,0.0,0.0,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.8,0.2,0.6,0.0,0.6,0.0,0.0,0.2,560.621505463146,357.261152798144,-0.3627409057328259,Low Income,Southern Asia,-0.6075617604072902,-0.4478271892789471,1
Algeria,9,14.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.8888888888888888,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,4912.78585503672,4961.55257664733,0.0099264903966072,Upper-Middle Income,Northern Africa,-0.6364101883375167,0.4282749700016208,1
Argentina,30,8.633333333333333,0.2333333333333333,0.0333333333333333,0.1666666666666666,0.0,0.0333333333333333,0.2333333333333333,0.1,0.1333333333333333,0.1,0.7666666666666667,0.5,0.2,0.0,0.0666666666666666,0.0,0.8333333333333334,0.0666666666666666,0.4,0.1666666666666666,0.5,0.0,0.0,0.3666666666666666,10260.1313108254,13935.6811110049,0.358236136442177,High Income,South America,-0.8993506883210416,-0.1043545430460224,1
Armenia,16,7.25,0.375,0.0625,0.3125,0.125,0.0,0.5,0.1875,0.125,0.1875,0.5625,0.375,0.25,0.0625,0.0,0.125,0.75,0.0625,0.4375,0.0,0.5,0.0,0.0625,0.25,3041.34450723339,6571.97445545099,1.1608780063621589,Upper-Middle Income,Western Asia,-0.8682695966483637,0.6926462135049927,1
Australia,18,12.944444444444445,1.8333333333333333,0.1111111111111111,0.2222222222222222,0.0555555555555555,0.0,0.1111111111111111,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.0555555555555555,0.0,0.0,0.1666666666666666,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.0555555555555555,0.2777777777777778,0.0,0.0,0.4444444444444444,52144.6654705468,64997.0136536475,0.24647484200201,High Income,Australia and New Zealand,2.223624609841611,-1.0196039702523458,2
Austria,18,8.166666666666666,1.0,0.0555555555555555,0.0,0.0,0.0555555555555555,0.1111111111111111,0.3888888888888889,0.0,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.0,0.2222222222222222,0.0555555555555555,0.2222222222222222,0.6111111111111112,0.0,0.5,0.1111111111111111,0.0555555555555555,0.0,0.0,0.7777777777777778,46611.1393420232,52176.6649141178,0.1194033368559367,High Income,Western Europe,0.5886302074693612,-1.3678724477320934,2
Bahamas,4,9.0,0.0,0.0,0.25,0.25,0.0,1.0,0.25,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.0,0.25,,,,Unknown,Caribbean,-1.4698729510659354,-0.0853315626737242,1
Bangladesh,12,26.58333333333333,2.25,0.1666666666666666,0.25,0.0,0.3333333333333333,0.5833333333333334,0.0,0.0833333333333333,0.25,0.9166666666666666,1.0,0.25,0.0833333333333333,0.0833333333333333,0.0,0.6666666666666666,0.1666666666666666,0.6666666666666666,0.0833333333333333,0.8333333333333334,0.0,0.1666666666666666,0.0833333333333333,757.385280361508,2716.48592677835,2.5866632178034177,Lower-Middle Income,Southern Asia,3.2370829298524293,4.489945521126003,3
Barbados,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18860.3833703309,22164.0260273876,0.1751630702403235,High Income,Caribbean,-0.4318240847779022,-1.1776393983625355,2
Belarus,1,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6034.67885177216,7994.64806074889,0.3247843434785532,Upper-Middle Income,Eastern Europe,0.5496748811076297,-0.5845326118805989,2
Belgium,19,7.0,0.5789473684210527,0.1052631578947368,0.1578947368421052,0.0526315789473684,0.0,0.1578947368421052,0.2631578947368421,0.1578947368421052,0.4210526315789473,0.7368421052631579,0.5263157894736842,0.0526315789473684,0.0,0.0526315789473684,0.0,0.9473684210526316,0.1578947368421052,0.5789473684210527,0.1052631578947368,0.2105263157894736,0.0,0.0,0.5263157894736842,44197.393671162,50807.2047084918,0.1495520547321908,High Income,Western Europe,0.0121289300878821,-1.3994949118418882,2
