cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class
Dominican Republic,8,10.625,0.5,0.0,0.25,0.125,0.0,0.375,0.5,0.375,0.375,0.5,0.5,0.125,0.0,0.125,0.0,0.625,0.0,0.875,0.0,0.625,0.0,0.0,0.125,5484.64637931191,10109.5234003521,0.8432406943290326,Upper-Middle Income
Ecuador,2,6.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4520.30959039763,6540.99824522101,0.4470243938857359,Upper-Middle Income
Egypt,19,17.05263157894737,1.4736842105263157,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.0,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.5789473684210527,0.631578947368421,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.0,0.6842105263157895,0.0,0.7894736842105263,0.05263157894736842,0.3684210526315789,0.0,0.15789473684210525,0.21052631578947367,,,,Unknown
El Salvador,12,6.75,0.25,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.75,0.08333333333333333,0.5833333333333334,0.0,0.6666666666666666,0.0,0.08333333333333333,0.16666666666666666,3040.07300952878,5093.51833879776,0.6754592152335415,Upper-Middle Income
Ethiopia,14,16.928571428571427,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.5714285714285714,0.21428571428571427,0.0,0.0,0.7142857142857143,0.7142857142857143,0.07142857142857142,0.0,0.0,0.0,0.5714285714285714,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.7857142857142857,0.0,0.0,0.07142857142857142,330.619412798644,1011.0732858233,2.0581183278523043,Low Income
Finland,20,13.7,1.3,0.0,0.15,0.0,0.0,0.2,0.15,0.1,0.5,0.8,0.5,0.0,0.05,0.0,0.15,0.75,0.0,0.85,0.0,0.2,0.0,0.0,0.6,46506.2919016566,50438.4753952355,0.08455164522456439,High Income
France,164,10.426829268292684,1.8170731707317074,0.3353658536585366,0.18292682926829268,0.17073170731707318,0.06707317073170732,0.1524390243902439,0.18902439024390244,0.12195121951219512,0.3719512195121951,0.5426829268292683,0.4573170731707317,0.0975609756097561,0.06707317073170732,0.03048780487804878,0.13414634146341464,0.6097560975609756,0.0975609756097561,0.5365853658536586,0.11585365853658537,0.2682926829268293,0.0,0.006097560975609756,0.4024390243902439,40694.8211697025,41082.8119320747,0.009534155728421204,High Income
Georgia,3,4.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3281.72930937343,6729.84659930283,1.0507013116775734,Upper-Middle Income
Germany,149,9.14765100671141,0.8859060402684564,0.12080536912751678,0.30201342281879195,0.04697986577181208,0.0,0.28187919463087246,0.14093959731543623,0.09395973154362416,0.4697986577181208,0.5436241610738255,0.4228187919463087,0.10738255033557047,0.020134228187919462,0.0,0.10067114093959731,0.6711409395973155,0.21476510067114093,0.5503355704697986,0.03355704697986577,0.38926174496644295,0.0,0.08053691275167785,0.35570469798657717,42409.9356994694,49686.1154582583,0.17156780925937426,High Income
Greece,298,10.036912751677852,0.5838926174496645,0.12416107382550336,0.11073825503355705,0.11409395973154363,0.026845637583892617,0.5033557046979866,0.46308724832214765,0.07718120805369127,0.17114093959731544,0.6610738255033557,0.4261744966442953,0.1644295302013423,0.026845637583892617,0.03355704697986577,0.05704697986577181,0.6073825503355704,0.24496644295302014,0.3187919463087248,0.006711409395973154,0.4429530201342282,0.04697986577181208,0.006711409395973154,0.1476510067114094,26653.0488008626,20971.8349258283,-0.21315437184996386,High Income
Guatemala,5,7.0,0.2,0.0,0.0,0.4,0.0,0.6,0.0,0.8,0.2,0.6,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.0,0.0,0.2,2805.25960237322,5358.08963795,0.9100156126075152,Upper-Middle Income
Guinea,1,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,659.235326211315,1416.59612011764,1.1488474051579516,Lower-Middle Income
Guyana,3,7.666666666666667,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4581.76179693492,17913.4910146288,2.909738613345735,High Income
Haiti,6,8.333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,1209.72733503094,1760.62635668777,0.45539106681650743,Lower-Middle Income
Honduras,4,8.5,0.5,0.0,0.0,0.5,0.0,0.5,0.25,0.5,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.25,1893.32722662035,3003.28996826399,0.5862498178008875,Lower-Middle Income
Hungary,22,14.727272727272727,2.0,0.4090909090909091,0.2727272727272727,0.22727272727272727,0.0,0.4090909090909091,0.13636363636363635,0.045454545454545456,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,0.0,0.6363636363636364,0.22727272727272727,0.6363636363636364,0.0,0.6363636363636364,0.0,0.13636363636363635,0.3181818181818182,13217.5045951108,18353.298364905,0.3885600139449883,High Income
